_Year,customer_key,customer_id,customer_name,age,age_group,customer_segment,total_orders,total_sales,total_quantity_purchased,last_order_date,month_since_last_order,avg_order_value,avg_monthly_spend
2013,4781,15780,Claudia McDonald,57,50 and Above,New,3,2462,3,2013-09-15 0:00,143,820,2462
2013,4792,15791,Megan Long,59,50 and Above,New,4,42,4,2013-12-02 0:00,140,10,4
2013,4793,15792,Ernest Zhou,49,40-49,New,2,574,2,2013-03-26 0:00,149,287,574
2013,4794,15793,Renee Navarro,49,40-49,New,1,2320,1,2013-11-28 0:00,141,2320,2320
2013,4798,15797,Isaac Cox,55,50 and Above,New,3,2344,3,2013-11-03 0:00,141,781,2344
2013,4806,15805,Dawn Lin,58,50 and Above,New,4,128,4,2013-12-17 0:00,140,32,128
2013,4824,15823,Sharon Tang,81,50 and Above,New,4,68,4,2013-11-14 0:00,141,17,11
2013,4827,15826,Marissa Price,41,40-49,New,7,161,7,2013-10-08 0:00,142,23,20
2013,4834,15833,Tabitha Kovar,77,50 and Above,New,1,540,1,2013-05-03 0:00,147,540,540
2013,4836,15835,Marcus Smith,44,40-49,New,3,94,3,2013-12-06 0:00,140,31,94
2013,4838,15837,Julia Johnston,44,40-49,New,2,40,2,2013-07-15 0:00,145,20,40
2013,4844,15843,Caleb Wright,51,50 and Above,New,3,2360,3,2013-09-15 0:00,143,786,2360
2013,4845,15844,Megan Brown,51,50 and Above,New,3,2352,3,2013-09-24 0:00,143,784,2352
2013,4849,15848,Gabrielle Hernandez,46,40-49,New,2,40,2,2013-12-27 0:00,140,20,40
2013,4852,15851,Taylor Anderson,53,50 and Above,New,4,2416,4,2013-09-05 0:00,143,604,2416
2013,4865,15864,Lauren Bailey,41,40-49,New,5,104,5,2013-10-08 0:00,142,20,20
2013,4867,15866,Abigail White,44,40-49,New,8,146,8,2013-11-19 0:00,141,18,18
2013,4870,15869,Alexandra Hall,48,40-49,New,2,14,2,2013-03-05 0:00,149,7,14
2013,4872,15871,Ryan Jai,48,40-49,New,2,40,2,2013-03-29 0:00,149,20,40
2013,4889,15888,Amanda Richardson,74,50 and Above,New,3,2396,3,2013-09-15 0:00,143,798,2396
2013,4896,15895,Sophia Parker,55,50 and Above,New,3,62,3,2013-06-24 0:00,146,20,62
2013,4898,15897,Haley Cooper,72,50 and Above,New,4,2332,4,2013-09-02 0:00,143,583,2332
2013,4905,15904,Janice Bennett,70,50 and Above,New,3,612,3,2013-05-31 0:00,147,204,612
2013,4906,15905,Taylor Taylor,69,50 and Above,New,6,4899,6,2013-12-04 0:00,140,816,979
2013,4913,15912,Mya Simmons,68,50 and Above,New,3,94,3,2013-06-06 0:00,146,31,94
2013,4925,15924,Omar Wang,64,50 and Above,New,5,3562,5,2013-07-31 0:00,145,712,3562
2013,4933,15932,Tabitha Jimenez,64,50 and Above,New,4,4743,4,2013-08-21 0:00,144,1185,1581
2013,4934,15933,Clinton Dominguez,59,50 and Above,New,6,4750,6,2013-09-10 0:00,143,791,4750
2013,4952,15951,Jenna Baker,63,50 and Above,New,2,40,2,2013-04-21 0:00,148,20,40
2013,4959,15958,Nicole Ross,58,50 and Above,New,2,69,2,2013-05-23 0:00,147,34,69
2013,4963,15962,Benjamin Winter,53,50 and Above,New,3,62,3,2013-11-23 0:00,141,20,62
2013,4964,15963,Madison Smith,47,40-49,New,3,90,3,2013-04-03 0:00,148,30,90
2013,4967,15966,Natalie Foster,64,50 and Above,New,1,5,1,2013-08-30 0:00,144,5,5
2013,4970,15969,Sean Murphy,48,40-49,New,3,2327,3,2013-09-11 0:00,143,775,2327
2013,4975,15974,Marcus Green,60,50 and Above,New,7,208,7,2013-11-20 0:00,141,29,23
